number,alpha,common,band_size,scientific,T & E*,Comments,taxonomic_order
810,BFAL,Black-footed Albatross,7B,Phoebastria nigripes,,,129
5960,BHGR,Black-headed Grosbeak,"1A, 1D, 2",Pheucticus melanocephalus,,,1099
551,BHGU,Black-headed Gull,5,Chroicocephalus ridibundus,,,407
400,BLKI,Black-legged Kittiwake,"4A, 5, 4",Rissa tridactyla,,,402
731,BNTE,Black-naped Tern,2,Sterna sumatrana,,,451
2260,BNST,Black-necked Stilt,"3A, 4, 4A",Himantopus mexicanus,,Band above the intertarsal joint only.,293
8080,BRWX,Black-rumped Waxbill,"0, 1C, 1",Estrilda troglodytes,,,1205
7520,BTGN,Black-tailed Gnatcatcher,0A,Polioptila melanura,,,815
2520,BLAG,Black-tailed Godwit,4,Limosa limosa,,,332
6540,BTBW,Black-throated Blue Warbler,"0, 0A",Setophaga caerulescens,,,964
6650,BTYW,Black-throated Gray Warbler,"0A, 0",Setophaga nigrescens,,,980
6670,BTNW,Black-throated Green Warbler,"0A, 0",Setophaga virens,,,985
5730,BTSP,Black-throated Sparrow,"0, 1C, 1",Amphispiza bilineata,,,1043
5041,BVOR,Black-vented Oriole,2,Icterus wagleri,,,1131
930,BVSH,Black-vented Shearwater,4,Puffinus opisthomelas,,,172
6230,BWVI,Black-whiskered Vireo,"1, 1C",Vireo altiloquus,,,729
992,BWPE,Black-winged Petrel,2,Pterodroma nigripennis,,,153
2262,BWST,Black-winged Stilt,4,Himantopus himantopus,,,291
6620,BLBW,Blackburnian Warbler,"0, 0A",Setophaga fusca,,,960
6610,BLPW,Blackpoll Warbler,"0, 1C, 0A, 1",Setophaga striata,,,963
5971,BLBU,Blue Bunting,"1, 1C",Cyanocompsa parellina,,,1100
1691,BLGO,Blue Goose,7B,Anser caerulescens,,,11
1698,BGSG,Blue Greater Snow Goose,7B,,,,13
5970,BLGR,Blue Grosbeak,"1B, 1A",Passerina caerulea,,,1101
4770,BLJA,Blue Jay,"2, 3, 2A",Cyanocitta cristata,,,739
7121,BLMO,Blue Mockingbird,2,Melanotis caerulescens,,,891
8527,BLPE,Blue Petrel,3,Halobaena caerulea,,,139
9184,BBGR,Blue-black Grassquit,"0, 0A",Volatinia jacarina,,,1004
3815,BCLO,Blue-crowned Lorikeet,"2, 3",Vini australis,,"No butt-end bands, special parrot bands only.",629
8541,BECO,Blue-eyed Cormorant,"8, 7D",Leucocarbo atriceps,,,208
