species_id,alpha,common,weight_female_min,weight_female_max,weight_male_min,weight_male_min,wing_female_min,wing_female_max,wing_male_min,wing_male_max,tail_female_min,tail_female_max,tail_male_min,tail_male_max
824,WAVA,Waved Albatross,0,0,0,0,0,0,0,0,0,0,0,0
830,YNAL,Yellow-nosed Albatross,0,0,0,0,0,0,0,0,0,0,0,0
860,NOFU,Northern Fulmar,0,0,0,0,284,339,291,348,100,129,108,135
880,COSH,Cory's Shearwater,0,0,0,0,319,361,323,367,117,141,120,144
881,STRS,Streaked Shearwater,0,0,0,0,0,0,0,0,0,0,0,0
890,GRSH,Great Shearwater,0,0,0,0,310,337,317,341,106,120,108,126
900,MASH,Manx Shearwater,0,0,0,0,220,238,219,241,67,83,68,85
910,PFSH,Pink-footed Shearwater,0,0,0,0,319,343,321,345,107,122,106,124
920,AUSH,Audubon's Shearwater,0,0,0,0,192,210,193,212,80,94,81,95
921,LISH,Little Shearwater,0,0,0,0,0,0,0,0,0,0,0,0
922,TRSH,Tropical Shearwater,0,0,0,0,0,0,0,0,0,0,0,0
930,BVSH,Black-vented Shearwater,0,0,0,0,223,246,225,248,69,80,70,82
931,TOSH,Townsend's Shearwater,0,0,0,0,0,0,0,0,0,0,0,0
932,NESH,Newell's Shearwater,0,0,0,0,0,0,0,0,0,0,0,0
950,SOSH,Sooty Shearwater,0,0,0,0,281,315,287,319,83,96,84,97
951,FFSH,Flesh-footed Shearwater,0,0,0,0,308,332,311,334,108,120,109,122
960,SHOS,Short-tailed Shearwater,0,0,0,0,261,284,262,286,75,87,74,87
961,WTSH,Wedge-tailed Shearwater,0,0,0,0,0,0,0,0,0,0,0,0
962,BULS,Buller's Shearwater,0,0,0,0,276,302,278,304,115,133,116,135
963,CHSH,Christmas Shearwater,0,0,0,0,0,0,0,0,0,0,0,0
980,BCPE,Black-capped Petrel,0,0,0,0,264,288,268,297,113,134,119,140
983,COPE,Cook's Petrel,0,0,0,0,223,239,229,246,86,94,88,97
985,HAPE,Hawaiian Petrel,0,0,0,0,0,0,0,0,0,0,0,0
987,JFPE,Juan Fernandez Petrel,0,0,0,0,0,0,0,0,0,0,0,0
988,PHPE,Phoenix Petrel,0,0,0,0,0,0,0,0,0,0,0,0
990,MOPE,Mottled Petrel,0,0,0,0,245,270,243,269,93,109,94,111
991,BOPE,Bonin Petrel,0,0,0,0,0,0,0,0,0,0,0,0
992,BWPE,Black-winged Petrel,0,0,0,0,0,0,0,0,0,0,0,0
1001,MUPE,Murphy's Petrel,0,0,0,0,267,296,268,296,104,119,105,123
1003,STPE,Stejneger's Petrel,0,0,0,0,0,0,0,0,0,0,0,0
1004,TAPE,Tahiti Petrel,0,0,0,0,0,0,0,0,0,0,0,0
1010,BUPE,Bulwer's Petrel,0,0,0,0,0,0,0,0,0,0,0,0
1020,CAPE,Cape Petrel,0,0,0,0,0,0,0,0,0,0,0,0
1030,LTSP,Least Storm-Petrel,0,0,0,0,116,129,113,126,52,58,50,56
1050,FTSP,Fork-tailed Storm-Petrel,0,0,0,0,147,167,144,163,83,100,79,86
1060,LHSP,Leach's Storm-Petrel,0,0,0,0,134,169,131,166,68,93,67,90
1062,BANP,Band-rumped Storm-Petrel,0,0,0,0,147,165,143,161,64,81,62,87
1063,WRSP,Wedge-rumped Storm-Petrel,0,0,0,0,0,0,0,0,0,0,0,0
1070,BLSP,Black Storm-Petrel,0,0,0,0,165,181,163,179,79,94,77,93
1071,TRSP,Tristram's Storm-Petrel,0,0,0,0,0,0,0,0,0,0,0,0
1080,ASSP,Ashy Storm-Petrel,0,0,0,0,135,148,132,145,74,84,72,82
1090,WISP,Wilson's Storm-Petrel,0,0,0,0,132,162,135,158,63,74,56,76
1101,WHSP,White-throated Storm-Petrel,0,0,0,0,0,0,0,0,0,0,0,0
1110,WFSP,White-faced Storm-Petrel,0,0,0,0,0,0,0,0,0,0,0,0
1120,WTTR,White-tailed Tropicbird,0,0,0,0,251,296,254,299,99,125,101,128
1130,RBTR,Red-billed Tropicbird,0,0,0,0,287,326,292,329,95,116,101,118
1131,RTTR,Red-tailed Tropicbird,0,0,0,0,294,348,296,349,70,88,73,92
1140,MABO,Masked Booby,0,0,0,0,399,480,392,471,148,206,147,203
1141,BFBO,Blue-footed Booby,0,0,0,0,427,470,396,451,175,251,172,250
1142,NABO,Nazca Booby,0,0,0,0,0,0,0,0,0,0,0,0
1150,BRBO,Brown Booby,0,0,0,0,377,427,359,430,176,203,173,200
1160,RFBO,Red-footed Booby,0,0,0,0,366,422,359,416,188,230,191,234
1170,NOGA,Northern Gannet,0,0,0,0,459,520,465,525,197,238,200,244
1180,ANHI,Anhinga,0,0,0,0,301,346,310,349,215,266,216,268
1190,GRCO,Great Cormorant,0,0,0,0,326,361,345,380,134,166,140,171
1200,DCCO,Double-crested Cormorant,0,0,0,0,267,350,279,359,122,164,130,172
1201,GUCO,Guanay Cormorant,0,0,0,0,0,0,0,0,0,0,0,0
1210,NECO,Neotropic Cormorant,0,0,0,0,238,271,246,281,155,174,161,181
1220,BRAC,Brandt's Cormorant,0,0,0,0,255,284,271,304,98,123,114,138
1230,PECO,Pelagic Cormorant,0,0,0,0,220,281,231,301,121,142,133,152
1240,RFCO,Red-faced Cormorant,0,0,0,0,249,284,270,302,132,165,144,173
1250,AWPE,American White Pelican,0,0,0,0,529,590,578,635,135,157,150,170
1260,BRPE,Brown Pelican,0,0,0,0,444,553,461,583,116,195,119,198
1280,MAFR,Magnificent Frigatebird,0,0,0,0,610,690,583,661,419,498,389,478
1281,GRFR,Great Frigatebird,0,0,0,0,545,650,510,614,353,440,320,416
1282,LEFR,Lesser Frigatebird,0,0,0,0,0,0,0,0,0,0,0,0
1290,COME,Common Merganser,0,0,0,0,226,257,252,284,87,99,94,106
1300,RBME,Red-breasted Merganser,0,0,0,0,198,227,219,252,68,81,76,88
1310,HOME,Hooded Merganser,0,0,0,0,163,187,175,203,80,91,85,96
1320,MALL,Mallard,0,0,0,0,249,287,265,303,80,98,84,103
1321,HAWD,Hawaiian Duck,0,0,0,0,0,0,0,0,0,0,0,0
1322,LADU,Laysan Duck,0,0,0,0,0,0,0,0,0,0,0,0
1323,MHDH,Mallard X Hawaiian Duck Hybrid,0,0,0,0,249,287,265,303,80,103,84,103
1325,MBDX,Mallard X American Black Duck Intermediate,0,0,0,0,249,287,265,303,80,103,84,103
1326,MBDH,Mallard X American Black Duck Hybrid,0,0,0,0,249,287,265,303,80,103,84,103
1327,MALX,Mallard Dominant X American Black Duck Hybrid,0,0,0,0,249,287,265,303,80,103,84,103
1330,ABDU,American Black Duck,0,0,0,0,249,277,265,300,81,103,85,103
1331,MEDU,Mexican Duck,0,0,0,0,239,279,257,297,75,91,78,93
1337,ABDX,American Black Duck Dominant X Mallard Hybrid,0,0,0,0,249,287,265,303,80,103,84,103
1340,MODU,Mottled Duck,0,0,0,0,223,253,235,267,78,90,81,93
1350,GADW,Gadwall,0,0,0,0,228,261,246,278,68,87,74,92
1360,EUWI,Eurasian Wigeon,0,0,0,0,220,254,238,271,73,100,82,112
1370,AMWI,American Wigeon,0,0,0,0,224,258,240,277,86,113,96,127
1371,FADU,Falcated Duck,0,0,0,0,0,0,0,0,0,0,0,0
1380,EGWT,European Green-winged Teal,0,0,0,0,163,191,170,197,59,71,61,74
1390,AGWT,Green-winged Teal,0,0,0,0,162,185,171,194,60,72,63,75
1391,BATE,Baikal Teal,0,0,0,0,0,0,0,0,0,0,0,0
1392,GARG,Garganey,0,0,0,0,0,0,0,0,0,0,0,0
1400,BWTE,Blue-winged Teal,0,0,0,0,161,183,173,195,56,68,59,71
1401,UNTE,Unidentified Teal,0,0,0,0,0,0,0,0,0,0,0,0
1410,CITE,Cinnamon Teal,0,0,0,0,171,186,180,202,61,75,63,78
1420,NSHO,Northern Shoveler,0,0,0,0,216,242,229,255,69,84,76,90
1430,NOPI,Northern Pintail,0,0,0,0,241,273,253,286,92,126,167,226
1431,WHIP,White-cheeked Pintail,0,0,0,0,0,0,0,0,0,0,0,0
1436,OHDU,Other Hybrid Duck,0,0,0,0,0,0,0,0,0,0,0,0
1440,WODU,Wood Duck,0,0,0,0,188,226,208,239,87,113,94,119
1441,MUDU,Muscovy Duck,0,0,0,0,0,0,0,0,0,0,0,0
1460,REDH,Redhead,0,0,0,0,208,227,216,237,53,61,54,63
1461,CPOC,Common Pochard,0,0,0,0,0,0,0,0,0,0,0,0
1470,CANV,Canvasback,0,0,0,0,211,234,219,243,53,60,54,61
1480,GRSC,Greater Scaup,0,0,0,0,200,224,206,230,50,60,52,62
1490,LESC,Lesser Scaup,0,0,0,0,182,205,188,212,46,57,47,59
1491,TUDU,Tufted Duck,0,0,0,0,182,202,189,209,45,58,47,59
1500,RNDU,Ring-necked Duck,0,0,0,0,176,196,185,205,47,61,49,63
1510,COGO,Common Goldeneye,0,0,0,0,177,222,198,239,69,88,77,98
1520,BAGO,Barrow's Goldeneye,0,0,0,0,196,224,220,248,79,89,83,93
1530,BUFF,Bufflehead,0,0,0,0,143,160,159,174,60,71,69,80
1540,LTDU,Long-tailed Duck,0,0,0,0,185,216,196,232,58,74,180,265
1550,HARD,Harlequin Duck,0,0,0,0,173,201,183,210,78,89,90,107
1570,STEI,Steller's Eider,0,0,0,0,194,218,199,223,74,89,79,94
