number,alpha,common,scientific,taxonomic_order
1860,GLIB,Glossy Ibis,Plegadis falcinellus,229
1870,WFIB,White-faced Ibis,Plegadis chihi,230
1871,HYIB,Hybrid Ibis,,231
1900,AMBI,American Bittern,Botaurus lentiginosus,212
1910,LEBI,Least Bittern *,Ixobrychus exilis,214
1911,YEBI,Yellow Bittern,Ixobrychus sinensis,213
1920,GWHE,Great White Heron,Ardea herodias occidentalis,215
1940,GBHE,Great Blue Heron,Ardea herodias,216
1960,GREG,Great Egret,Ardea alba,217
1969,PRHE,Pacific Reef Heron,Egretta sacra,218
1970,SNEG,Snowy Egret,Egretta thula,219
1980,REEG,Reddish Egret,Egretta rufescens,222
1990,TRHE,Tricolored Heron,Egretta tricolor,221
2000,LBHE,Little Blue Heron,Egretta caerulea,220
2001,CAEG,Cattle Egret,Bubulcus ibis,223
2010,GRHE,Green Heron,Butorides virescens,224
2020,BCNH,Black-crowned Night-Heron,Nycticorax nycticorax,225
2030,YCNH,Yellow-crowned Night-Heron,Nyctanassa violacea,226
2060,SACR,Sandhill Crane,Antigone canadensis,289
2070,LIMP,Limpkin,Aramus guarauna,288
2080,KIRA,King Rail *,Rallus elegans,276
2110,CLRA,Clapper Rail,Rallus crepitans,275
2120,VIRA,Virginia Rail,Rallus limicola,277
2131,YBCR,Yellow-breasted Crake,Hapalocrex flaviventer,279
2140,SORA,Sora,Porzana carolina,278
2150,YERA,Yellow Rail,Coturnicops noveboracensis,266
2160,BLRA,Black Rail,Laterallus jamaicensis,267
2161,BBRA,Buff-banded Rail,Gallirallus philippensis,270
2164,CBRA,California Black Rail,Laterallus jamaicensis coturniculus,269
2180,PUGA,Purple Gallinule,Porphyrio martinicus,281
2181,PUSW,Purple Swamphen,Porphyrio porphyrio,280
2190,COGA,Common Gallinule,Gallinula galeata,282
2210,AMCO,American Coot,Fulica americana,286
2211,CARC,Caribbean Coot,Fulica caribaea,287
2220,REPH,Red Phalarope,Phalaropus fulicarius,370
2230,RNPH,Red-necked Phalarope,Phalaropus lobatus,369
2240,WIPH,Wilson's Phalarope,Phalaropus tricolor,368
2250,AMAV,American Avocet,Recurvirostra americana,295
2260,BNST,Black-necked Stilt,Himantopus mexicanus,293
2262,BWST,Black-winged Stilt,Himantopus himantopus,291
2270,EUWO,Eurasian Woodcock,Scolopax rusticola,366
2280,AMWO,American Woodcock,Scolopax minor,367
2290,COSN,Common Snipe,Gallinago gallinago,362
2300,WISN,Wilson's Snipe,Gallinago delicata,363
2301,PTSN,Pin-tailed Snipe,Gallinago stenura,364
2302,SWSN,Swinhoe's Snipe,Gallinago megala,365
2310,SBDO,Short-billed Dowitcher,Limnodromus griseus,360
2320,LBDO,Long-billed Dowitcher,Limnodromus scolopaceus,361
2330,STSA,Stilt Sandpiper,Calidris himantopus,343
2340,REKN,Red Knot *,Calidris canutus,338
2350,PUSA,Purple Sandpiper,Calidris maritima,351
2360,ROSA,Rock Sandpiper,Calidris ptilocnemis,350
2380,SHAS,Sharp-tailed Sandpiper,Calidris acuminata,342
2390,PESA,Pectoral Sandpiper,Calidris melanotos,357
2400,WRSA,White-rumped Sandpiper,Calidris fuscicollis,355
2410,BASA,Baird's Sandpiper,Calidris bairdii,352
2411,LIST,Little Stint,Calidris minuta,353
2420,LESA,Least Sandpiper,Calidris minutilla,354
2422,RNST,Red-necked Stint,Calidris ruficollis,347
2423,LTST,Long-toed Stint,Calidris subminuta,345
2430,DUNL,Dunlin,Calidris alpina,349
2440,CUSA,Curlew Sandpiper,Calidris ferruginea,344
2450,SPOS,Spoon-billed Sandpiper,Calidris pygmea,346
2460,SESA,Semipalmated Sandpiper,Calidris pusilla,358
2470,WESA,Western Sandpiper,Calidris mauri,359
2480,SAND,Sanderling,Calidris alba,348
2490,MAGO,Marbled Godwit,Limosa fedoa,335
2500,BARG,Bar-tailed Godwit,Limosa lapponica,334
2510,HUGO,Hudsonian Godwit,Limosa haemastica,333
2520,BLAG,Black-tailed Godwit,Limosa limosa,332
2532,CGRE,Common Greenshank,Tringa nebularia,322
2540,GRYE,Greater Yellowlegs,Tringa melanoleuca,323
