number,alpha,common,scientific,taxonomic_order
7190,BEWR,Bewick's Wren,Thryomanes bewickii,809
7210,HOWR,House Wren,Troglodytes aedon,801
7220,WIWR,Winter Wren,Troglodytes hiemalis,804
7221,PAWR,Pacific Wren,Troglodytes pacificus,803
7222,PWWR,Pacific/Winter Wren,,805
7240,SEWR,Sedge Wren,Cistothorus stellaris,806
7250,MAWR,Marsh Wren,Cistothorus palustris,807
7260,BRCR,Brown Creeper,Certhia americana,798
7261,RWBU,Red-whiskered Bulbul,Pycnonotus jocosus,819
7262,RVBU,Red-vented Bulbul,Pycnonotus cafer,818
7270,WBNU,White-breasted Nuthatch,Sitta carolinensis,795
7280,RBNU,Red-breasted Nuthatch,Sitta canadensis,794
7290,BHNU,Brown-headed Nuthatch,Sitta pusilla,797
7300,PYNU,Pygmy Nuthatch,Sitta pygmaea,796
7310,TUTI,Tufted Titmouse,Baeolophus bicolor,789
7320,BCTI,Black-crested Titmouse,Baeolophus atricristatus,791
7330,OATI,Oak Titmouse,Baeolophus inornatus,787
7331,JUTI,Juniper Titmouse,Baeolophus ridgwayi,788
7339,PLTI,Plain Titmouse,,790
7340,BRTI,Bridled Titmouse,Baeolophus wollweberi,786
7341,VATI,Varied Tit,Sittiparus varius,785
7350,BCCH,Black-capped Chickadee,Poecile atricapillus,777
7356,HYCH,Hybrid Chickadee,,783
7357,UNCH,Unidentified Chickadee,,784
7360,CACH,Carolina Chickadee,Poecile carolinensis,776
7370,MECH,Mexican Chickadee,Poecile sclateri,779
7380,MOCH,Mountain Chickadee,Poecile gambeli,778
7390,GHCH,Gray-headed Chickadee,Poecile cinctus,782
7400,BOCH,Boreal Chickadee,Poecile hudsonicus,781
7410,CBCH,Chestnut-backed Chickadee,Poecile rufescens,780
7420,WREN,Wrentit,Chamaea fasciata,827
7421,RBLE,Red-billed Leiothrix,Leiothrix lutea,831
7422,HWAM,Hwamei,Garrulax canorus,830
7423,GNLA,Greater Necklaced Laughingthrush,Garrulax pectoralis,829
7424,OBNT,Orange-billed Nightingale-Thrush,Catharus aurantiirostris,857
7430,BUSH,Bushtit,Psaltriparus minimus,793
7460,VERD,Verdin,Auriparus flaviceps,792
7461,JABW,Japanese Bush-Warbler,Horornis diphone,822
7470,ARWA,Arctic Warbler,Phylloscopus borealis,825
7471,MIGW,Middendorff's Grasshopper-Warbler,Locustella ochotensis,834
7473,WOWA,Wood Warbler,Phylloscopus sibilatrix,823
7474,DUWA,Dusky Warbler,Phylloscopus fuscatus,824
7475,LANW,Lanceolated Warbler,Locustella lanceolata,838
7476,AKLW,Arctic/Kamchatka Leaf Warbler,,826
7480,GCKI,Golden-crowned Kinglet,Regulus satrapa,820
7490,RCKI,Ruby-crowned Kinglet,Corthylio calendula,821
7491,SIAC,Siberian Accentor,Prunella montanella,901
7510,BGGN,Blue-gray Gnatcatcher,Polioptila caerulea,812
7520,BTGN,Black-tailed Gnatcatcher,Polioptila melanura,815
7531,BCGN,Black-capped Gnatcatcher,Polioptila nigriceps,816
7532,BACG,Baja Gnatcatcher,Polioptila californica,814
7540,TOSO,Townsend's Solitaire,Myadestes townsendi,851
7541,OMAO,Omao,Myadestes obscurus,855
7550,WOTH,Wood Thrush *,Hylocichla mustelina,864
7560,VEER,Veery,Catharus fuscescens,858
7570,GCTH,Gray-cheeked Thrush,Catharus minimus,859
7571,BITH,Bicknell's Thrush *,Catharus bicknelli,860
7579,GCBT,Unidentified Gray-cheeked/Bicknell's Thrush,,861
7580,SWTH,Swainson's Thrush,Catharus ustulatus,862
7590,HETH,Hermit Thrush,Catharus guttatus,863
7600,REDW,Redwing,Turdus iliacus,868
7610,AMRO,American Robin,Turdus migratorius,872
7612,FIEL,Fieldfare,Turdus pilaris,867
7613,EYTH,Eyebrowed Thrush,Turdus obscurus,865
7614,DUTH,Dusky Thrush,Turdus eunomus,866
7621,CCTH,Clay-colored Thrush,Turdus grayi,869
7622,RBRO,Rufous-backed Robin,Turdus rufopalliatus,871
7623,RLTH,Red-legged Thrush,Turdus plumbeus,874
7630,VATH,Varied Thrush,Ixoreus naevius,875
7631,AZTH,Aztec Thrush,Ridgwayia pinicola,876
7640,BLUE,Bluethroat,Cyanecula svecica,843
7641,SIRU,Siberian Rubythroat,Calliope calliope,842
7642,RFBL,Red-flanked Bluetail,Tarsiger cyanurus,844
7650,NOWH,Northern Wheatear,Oenanthe oenanthe,846
7660,EABL,Eastern Bluebird,Sialia sialis,847
7670,WEBL,Western Bluebird,Sialia mexicana,848
7676,HYBL,Hybrid Western/Mountain Bluebird,,850
7680,MOBL,Mountain Bluebird,Sialia currucoides,849
7690,WRSH,White-rumped Shama,Copsychus malabaricus,841
7700,HAEL,Hawaii Elepaio,Chasiempis sandwichensis,761
7702,KAEL,Kauai Elepaio,Chasiempis sclateri,759
7710,TAFL,Taiga Flycatcher,Ficedula albicilla,845
7720,DSFL,Dark-sided Flycatcher,Muscicapa sibirica,840
7730,GSFL,Gray-streaked Flycatcher,Muscicapa griseisticta,839
7820,HAAM,Hawaii Amakihi,Chlorodrepanis virens,1159
7821,OAAM,Oahu Amakihi,Chlorodrepanis flava,1160
7830,KAAM,Kauai Amakihi,Chlorodrepanis stejnegeri,1161
7840,ANIA,Anianiau,Magumma parva,1165
7920,MAAL,Maui Alauahio,Paroreomyza montana,1169
7980,IIWI,Iiwi,Drepanis coccinea,1173
8020,APAP,Apapane,Himatione sanguinea,1175
8041,NRBI,Northern Red Bishop,Euplectes franciscanus,1201
8042,YCBI,Yellow-crowned Bishop,Euplectes afer,1200
8050,RCCO,Red-cheeked Cordonbleu,Uraeginthus bengalus,1202
8060,LAVW,Lavender Waxbill,Estrilda caerulescens,1203
8070,ORAW,Orange-cheeked Waxbill,Estrilda melpoda,1204
8080,BRWX,Black-rumped Waxbill,Estrilda troglodytes,1205
8081,COMW,Common Waxbill,Estrilda astrild,1206
8090,REAV,Red Avadavat,Amandava amandava,1207
8100,AFSI,African Silverbill,Euodice cantans,1209
8101,BRMA,Bronze Mannikin,Spermestes cucullata,1208
8110,SBMU,Scaly-breasted Munia,Lonchura punctulata,1211
8120,TRMU,Tricolored Munia,Lonchura malacca,1212
8130,JAVS,Java Sparrow,Padda oryzivora,1210
8131,PTWH,Pin-tailed Whydah,Vidua macroura,1213
8501,KIPE,King Penguin,Aptenodytes patagonicus,104
8502,EMPE,Emperor Penguin,Aptenodytes forsteri,105
8503,GEPE,Gentoo Penguin,Pygoscelis papua,106
8504,ADPE,Adelie Penguin,Pygoscelis adeliae,107
8505,CHPE,Chinstrap Penguin,Pygoscelis antarcticus,108
8506,VIPE,Victoria Penguin,Eudyptes pachyrhynchus,109
8508,ROCP,Rockhopper Penguin,Eudyptes chrysocome,110
8509,ROYP,Royal Penguin,Eudyptes schlegeli,111
8510,MACP,Macaroni Penguin,Eudyptes chrysolophus,112
8512,FAPE,Fairy Penguin,Eudyptula minor,113
8514,AFPE,African Penguin,Spheniscus demersus,114
8515,HUPE,Humboldt Penguin,Spheniscus humboldti,116
8516,MAGP,Magellanic Penguin,Spheniscus magellanicus,115
8517,GALP,Galapagos Penguin,Spheniscus mendiculus,117
8519,ROAL,Royal Albatross,Diomedea epomophora,132
8521,BUAL,Buller's Albatross,Thalassarche bulleri,123
8522,GHAL,Gray-headed Albatross,Thalassarche chrysostoma,122
8523,SOAL,Sooty Albatross,Phoebetria fusca,133
8524,LMSA,Light-mantled Albatross,Phoebetria palpebrata,121
8525,SGPE,Southern Giant-Petrel,Macronectes giganteus,125
8526,SOFU,Southern Fulmar,Fulmarus glacialoides,135
8527,BLPE,Blue Petrel,Halobaena caerulea,139
8528,BBPR,Broad-billed Prion,Pachyptila vittata,140
8529,DOPR,Dove Prion,Pachyptila desolata,141
8530,TBPR,Thin-billed Prion,Pachyptila belcheri,142
8531,FAPR,Fairy Prion,Pachyptila turtur,143
8532,ANPE,Antarctic Petrel,Thalassoica antarctica,136
8533,WCPE,White-chinned Petrel,Procellaria aequinoctialis,158
8536,KEPE,Kerguelen Petrel,Aphrodroma brevirostris,144
8537,SNPE,Snow Petrel,Pagodroma nivea,138
8538,GBSP,Gray-backed Storm-Petrel,Garrodia nereis,177
8541,BECO,Blue-eyed Cormorant,Leucocarbo atriceps,208
8543,SNSH,Snowy Sheathbill,Chionis albus,314
8544,LESH,Lesser Sheathbill,Chionis minor,315
8546,KEGU,Kelp Gull,Larus dominicanus,430
8548,ANTE,Antarctic Tern,Sterna vittata,455
8549,KETE,Kerguelen Tern,Sterna virgata,456
8552,HYSK,Hybrid Skua,,374
8553,NGPE,Northern Giant-Petrel,Macronectes halli,126
8554,BRSK,Brown Skua,Stercorarius antarcticus,373
8560,TIMO,Tinian Monarch,Monarcha takatsukasae,733
8610,WRSW,White-rumped Swiftlet,Aerodramus spodiopygius,542
8620,PCFD,Purple-capped Fruit Dove,Ptilinopus porphyraceus,483
8630,COLK,Collared Kingfisher,Todiramphus chloris,582
8640,SAST,Samoan Starling,Aplonis atrifusca,894
8650,POST,Polynesian Starling,Aplonis tabuensis,893
8660,CAHO,Cardinal Honeyeater,Myzomela cardinalis,704
8670,WAHO,Wattled Honeyeater,Foulehaio carunculatus,705
8680,MIMY,Micronesian Myzomela,Myzomela rubratra,706
8690,RUFA,Rufous Fantail,Rhipidura rufifrons,731
8691,FISH,Fiji Shrikebill,Clytorhynchus vitiensis,732
8700,BRWE,Bridled White-eye,Zosterops conspicillatus,837
8710,GOWE,Golden White-eye,Cleptornis marchei,835
8720,MIST,Micronesian Starling,Aplonis opaca,892
8740,BLDR,Black Drongo,Dicrurus macrocercus,730
8750,LTCU,Long-tailed Cuckoo,Eudynamys taitensis,499
8760,MCFD,Many-colored Fruit Dove,Ptilinopus perousii,482
8770,PAPI,Pacific Pigeon,Ducula pacifica,485
9067,PRMA,Puerto Rican Mango,Anthracothorax aurulentus,548
9071,STTL,Streamertail,Trochilus polytmus,576
9081,JATO,Jamaican Tody,Todus todus,580
9094,SAFL,Sad Flycatcher,Myiarchus barbirostris,681
9099,YBEL,Yellow-bellied Elaenia,Elaenia flavogaster,652
9101,GAEL,Greater Antillean Elaenia,Elaenia fallax,653
9102,JAEL,Jamaican Elaenia,Myiopagis cotta,648
9107,JACR,Jamaican Crow,Corvus jamaicensis,753
9109,SHWR,Southern House Wren,Troglodytes aedon musculus,802
9116,BRTR,Brown Trembler,Cinclocerthia ruficauda,879
9120,WETH,White-eyed Thrush,Turdus jamaicensis,870
9122,WCTH,White-chinned Thrush,Turdus aurantius,873
9127,RTSO,Rufous-throated Solitaire,Myadestes genibarbis,852
9130,TBVI,Thick-billed Vireo,Vireo crassirostris,712
9132,JAVI,Jamaican Vireo,Vireo modestus,713
9138,OLIW,Olive-capped Warbler,Setophaga pityophila,968
9141,ARRW,Arrowhead Warbler,Setophaga pharetra,950
9145,BAYE,Bahama Yellowthroat,Geothlypis rostrata,947
9151,ORAN,Orangequit,Euneornis campestris,1016
9153,JAEU,Jamaican Euphonia,Euphonia jamaica,1147
9166,VETR,Venezuelan Troupial,Icterus icterus,1135
9169,JAOR,Jamaican Oriole,Icterus leucopteryx,1139
9176,YSGR,Yellow-shouldered Grassquit,Loxipasser anoxanthus,1012
9178,GABU,Greater Antillean Bullfinch,Melopyrrha violacea,1014
9182,YBSE,Yellow-bellied Seedeater,Sporophila nigricollis,1008
9184,BBGR,Blue-black Grassquit,Volatinia jacarina,1004
9986,HYNO,Hybrid Nonpasserine,,618
9996,HYPA,Hybrid Passerine,,619
